epoch, loss, accuracy, precision, recall, f1_score, rotation
50, 0.397, 0.957, 0.418, 0.321, 0.344, 0.909
150, 0.281, 0.952, 0.508, 0.571, 0.535, 0.937
250, 0.232, 0.955, 0.530, 0.627, 0.572, 0.951
350, 0.198, 0.956, 0.543, 0.654, 0.591, 0.959
450, 0.171, 0.957, 0.552, 0.674, 0.605, 0.965
550, 0.150, 0.958, 0.559, 0.688, 0.615, 0.970
650, 0.133, 0.959, 0.564, 0.699, 0.623, 0.974
750, 0.119, 0.959, 0.569, 0.710, 0.630, 0.977
850, 0.108, 0.960, 0.574, 0.719, 0.636, 0.979
950, 0.099, 0.961, 0.578, 0.726, 0.642, 0.981
1050, 0.091, 0.961, 0.581, 0.733, 0.647, 0.983
1150, 0.085, 0.962, 0.585, 0.739, 0.651, 0.984
1250, 0.079, 0.962, 0.588, 0.745, 0.656, 0.985
1350, 0.075, 0.962, 0.591, 0.750, 0.660, 0.986
1450, 0.070, 0.963, 0.594, 0.755, 0.663, 0.987
1550, 0.066, 0.963, 0.597, 0.759, 0.667, 0.988
1650, 0.063, 0.963, 0.599, 0.763, 0.670, 0.989
1750, 0.060, 0.964, 0.601, 0.767, 0.673, 0.989
1850, 0.057, 0.964, 0.604, 0.770, 0.675, 0.990
1950, 0.054, 0.964, 0.606, 0.774, 0.678, 0.990
2050, 0.052, 0.965, 0.609, 0.777, 0.681, 0.991
2150, 0.050, 0.965, 0.611, 0.780, 0.684, 0.991
2250, 0.048, 0.965, 0.612, 0.783, 0.686, 0.992
2350, 0.046, 0.965, 0.615, 0.786, 0.688, 0.992
2450, 0.044, 0.966, 0.617, 0.789, 0.691, 0.993
2550, 0.042, 0.966, 0.619, 0.791, 0.694, 0.993
2650, 0.041, 0.966, 0.621, 0.794, 0.696, 0.993
2750, 0.039, 0.966, 0.623, 0.796, 0.698, 0.994
2850, 0.038, 0.967, 0.625, 0.799, 0.700, 0.994
2950, 0.037, 0.967, 0.627, 0.802, 0.702, 0.994
3050, 0.036, 0.967, 0.629, 0.804, 0.704, 0.994
3150, 0.035, 0.967, 0.631, 0.806, 0.706, 0.995
3250, 0.034, 0.968, 0.633, 0.808, 0.708, 0.995
3350, 0.033, 0.968, 0.635, 0.810, 0.710, 0.995
3450, 0.032, 0.968, 0.636, 0.812, 0.712, 0.995
3550, 0.031, 0.968, 0.638, 0.814, 0.714, 0.995
3650, 0.030, 0.968, 0.640, 0.816, 0.716, 0.995
3750, 0.029, 0.969, 0.642, 0.819, 0.718, 0.996
3850, 0.029, 0.969, 0.643, 0.820, 0.720, 0.996
3950, 0.028, 0.969, 0.646, 0.823, 0.722, 0.996
4050, 0.027, 0.969, 0.647, 0.824, 0.724, 0.996
4150, 0.027, 0.970, 0.649, 0.826, 0.725, 0.996
4250, 0.026, 0.970, 0.651, 0.828, 0.728, 0.996
4350, 0.025, 0.970, 0.653, 0.830, 0.729, 0.996
4450, 0.024, 0.970, 0.655, 0.832, 0.732, 0.997
4550, 0.024, 0.970, 0.656, 0.834, 0.733, 0.997
4650, 0.023, 0.971, 0.659, 0.836, 0.735, 0.997
4750, 0.023, 0.971, 0.660, 0.838, 0.737, 0.997
4850, 0.023, 0.971, 0.662, 0.839, 0.739, 0.997
4950, 0.023, 0.971, 0.664, 0.840, 0.740, 0.997
5050, 0.022, 0.971, 0.666, 0.842, 0.742, 0.997
5150, 0.022, 0.972, 0.667, 0.843, 0.744, 0.997
5250, 0.021, 0.972, 0.669, 0.845, 0.746, 0.997
5350, 0.021, 0.972, 0.671, 0.847, 0.748, 0.997
5450, 0.020, 0.972, 0.673, 0.848, 0.750, 0.997
5550, 0.020, 0.973, 0.675, 0.850, 0.751, 0.997
5650, 0.020, 0.973, 0.677, 0.851, 0.753, 0.997
5750, 0.019, 0.973, 0.678, 0.852, 0.754, 0.997
5850, 0.019, 0.973, 0.681, 0.854, 0.756, 0.998
5950, 0.019, 0.973, 0.682, 0.855, 0.757, 0.998
6050, 0.019, 0.973, 0.684, 0.857, 0.759, 0.998
6150, 0.018, 0.974, 0.686, 0.858, 0.761, 0.998
6250, 0.019, 0.974, 0.687, 0.859, 0.762, 0.998
6350, 0.018, 0.974, 0.690, 0.861, 0.764, 0.998
6450, 0.018, 0.974, 0.691, 0.862, 0.766, 0.998
6550, 0.018, 0.974, 0.693, 0.863, 0.767, 0.998
6650, 0.017, 0.975, 0.695, 0.864, 0.769, 0.998
6750, 0.017, 0.975, 0.697, 0.866, 0.771, 0.998
6850, 0.017, 0.975, 0.698, 0.867, 0.772, 0.998
6950, 0.017, 0.975, 0.700, 0.868, 0.774, 0.998
7050, 0.016, 0.975, 0.702, 0.869, 0.776, 0.998
7150, 0.016, 0.976, 0.704, 0.870, 0.777, 0.998
7250, 0.016, 0.976, 0.705, 0.871, 0.778, 0.998
7350, 0.016, 0.976, 0.707, 0.872, 0.779, 0.998
7450, 0.016, 0.976, 0.709, 0.873, 0.781, 0.998
7550, 0.015, 0.976, 0.711, 0.875, 0.783, 0.998
7650, 0.015, 0.976, 0.712, 0.876, 0.784, 0.998
7750, 0.015, 0.977, 0.714, 0.877, 0.786, 0.998
7850, 0.015, 0.977, 0.716, 0.878, 0.787, 0.998
7950, 0.016, 0.977, 0.717, 0.878, 0.788, 0.998
8050, 0.015, 0.977, 0.719, 0.880, 0.790, 0.998
8150, 0.015, 0.977, 0.721, 0.881, 0.792, 0.998
8250, 0.014, 0.978, 0.723, 0.882, 0.793, 0.998
8350, 0.014, 0.978, 0.724, 0.883, 0.794, 0.998
8450, 0.014, 0.978, 0.726, 0.884, 0.796, 0.998
8550, 0.014, 0.978, 0.728, 0.886, 0.798, 0.998
8650, 0.013, 0.978, 0.730, 0.887, 0.800, 0.998
8750, 0.014, 0.978, 0.731, 0.887, 0.800, 0.998
8850, 0.013, 0.979, 0.733, 0.888, 0.802, 0.998
8950, 0.013, 0.979, 0.735, 0.889, 0.804, 0.998
9050, 0.014, 0.979, 0.735, 0.889, 0.804, 0.998
9150, 0.013, 0.979, 0.738, 0.891, 0.806, 0.998
9250, 0.013, 0.979, 0.740, 0.892, 0.808, 0.999
9350, 0.013, 0.979, 0.741, 0.892, 0.808, 0.998
