epoch, loss, accuracy, precision, recall, f1_score, rotation
50, 0.390, 0.954, 0.332, 0.147, 0.198, 0.903
150, 0.278, 0.947, 0.450, 0.381, 0.407, 0.940
250, 0.229, 0.949, 0.481, 0.484, 0.478, 0.951
350, 0.194, 0.951, 0.497, 0.537, 0.512, 0.959
450, 0.166, 0.952, 0.508, 0.570, 0.534, 0.965
550, 0.144, 0.953, 0.515, 0.593, 0.548, 0.970
650, 0.127, 0.954, 0.522, 0.609, 0.559, 0.974
750, 0.113, 0.954, 0.527, 0.624, 0.569, 0.977
850, 0.102, 0.955, 0.531, 0.634, 0.575, 0.979
950, 0.092, 0.955, 0.535, 0.643, 0.582, 0.981
1050, 0.085, 0.956, 0.539, 0.651, 0.588, 0.982
1150, 0.078, 0.956, 0.543, 0.659, 0.593, 0.984
1250, 0.073, 0.957, 0.546, 0.666, 0.598, 0.985
1350, 0.068, 0.957, 0.549, 0.672, 0.602, 0.986
1450, 0.064, 0.957, 0.552, 0.677, 0.606, 0.987
1550, 0.060, 0.958, 0.554, 0.682, 0.610, 0.988
1650, 0.056, 0.958, 0.556, 0.686, 0.613, 0.989
1750, 0.053, 0.958, 0.558, 0.691, 0.616, 0.989
1850, 0.050, 0.958, 0.560, 0.695, 0.619, 0.990
1950, 0.048, 0.959, 0.563, 0.699, 0.622, 0.991
2050, 0.045, 0.959, 0.565, 0.704, 0.625, 0.991
2150, 0.043, 0.959, 0.566, 0.707, 0.627, 0.992
2250, 0.041, 0.959, 0.568, 0.710, 0.629, 0.992
2350, 0.039, 0.960, 0.569, 0.714, 0.631, 0.993
2450, 0.038, 0.960, 0.571, 0.716, 0.633, 0.993
2550, 0.036, 0.960, 0.572, 0.719, 0.635, 0.993
2650, 0.035, 0.960, 0.574, 0.722, 0.638, 0.993
2750, 0.033, 0.960, 0.575, 0.725, 0.640, 0.994
2850, 0.032, 0.961, 0.577, 0.727, 0.641, 0.994
2950, 0.031, 0.961, 0.578, 0.730, 0.643, 0.994
3050, 0.030, 0.961, 0.579, 0.732, 0.645, 0.994
3150, 0.029, 0.961, 0.580, 0.734, 0.646, 0.995
3250, 0.028, 0.961, 0.582, 0.737, 0.649, 0.995
3350, 0.027, 0.961, 0.583, 0.739, 0.650, 0.995
3450, 0.026, 0.961, 0.584, 0.741, 0.651, 0.995
3550, 0.025, 0.962, 0.585, 0.743, 0.653, 0.996
3650, 0.024, 0.962, 0.586, 0.745, 0.654, 0.996
3750, 0.024, 0.962, 0.587, 0.746, 0.656, 0.996
3850, 0.023, 0.962, 0.588, 0.748, 0.657, 0.996
3950, 0.022, 0.962, 0.589, 0.750, 0.658, 0.996
4050, 0.022, 0.962, 0.591, 0.752, 0.660, 0.996
4150, 0.021, 0.962, 0.592, 0.754, 0.661, 0.996
4250, 0.021, 0.963, 0.593, 0.755, 0.663, 0.996
4350, 0.020, 0.963, 0.594, 0.757, 0.664, 0.997
4450, 0.020, 0.963, 0.595, 0.759, 0.665, 0.997
4550, 0.019, 0.963, 0.596, 0.761, 0.667, 0.997
4650, 0.019, 0.963, 0.597, 0.762, 0.668, 0.997
4750, 0.019, 0.963, 0.598, 0.763, 0.669, 0.997
4850, 0.018, 0.963, 0.599, 0.765, 0.671, 0.997
4950, 0.018, 0.964, 0.600, 0.767, 0.671, 0.997
5050, 0.017, 0.964, 0.601, 0.768, 0.673, 0.997
5150, 0.017, 0.964, 0.602, 0.769, 0.674, 0.997
5250, 0.017, 0.964, 0.603, 0.771, 0.675, 0.997
5350, 0.016, 0.964, 0.604, 0.772, 0.676, 0.997
5450, 0.016, 0.964, 0.605, 0.775, 0.678, 0.997
5550, 0.016, 0.964, 0.606, 0.776, 0.679, 0.997
5650, 0.016, 0.964, 0.607, 0.777, 0.680, 0.997
5750, 0.016, 0.965, 0.608, 0.778, 0.681, 0.997
5850, 0.016, 0.965, 0.609, 0.779, 0.682, 0.997
5950, 0.016, 0.965, 0.610, 0.780, 0.683, 0.997
6050, 0.015, 0.965, 0.611, 0.782, 0.685, 0.998
6150, 0.015, 0.965, 0.612, 0.784, 0.685, 0.998
6250, 0.014, 0.965, 0.613, 0.785, 0.687, 0.998
6350, 0.014, 0.965, 0.614, 0.786, 0.688, 0.998
6450, 0.014, 0.965, 0.615, 0.788, 0.689, 0.998
6550, 0.013, 0.965, 0.615, 0.789, 0.690, 0.998
6650, 0.013, 0.966, 0.617, 0.790, 0.691, 0.998
6750, 0.014, 0.966, 0.617, 0.790, 0.692, 0.998
6850, 0.014, 0.966, 0.618, 0.792, 0.693, 0.998
6950, 0.013, 0.966, 0.619, 0.792, 0.694, 0.998
7050, 0.013, 0.966, 0.620, 0.794, 0.695, 0.998
7150, 0.013, 0.966, 0.621, 0.795, 0.695, 0.998
7250, 0.013, 0.966, 0.622, 0.796, 0.697, 0.998
7350, 0.012, 0.966, 0.623, 0.798, 0.698, 0.998
7450, 0.012, 0.967, 0.624, 0.799, 0.699, 0.998
7550, 0.012, 0.967, 0.625, 0.800, 0.700, 0.998
7650, 0.012, 0.967, 0.626, 0.801, 0.701, 0.998
7750, 0.012, 0.967, 0.627, 0.802, 0.702, 0.998
7850, 0.012, 0.967, 0.628, 0.803, 0.703, 0.998
7950, 0.012, 0.967, 0.629, 0.804, 0.704, 0.998
8050, 0.012, 0.967, 0.629, 0.804, 0.704, 0.998
8150, 0.013, 0.967, 0.630, 0.805, 0.705, 0.998
8250, 0.011, 0.967, 0.631, 0.807, 0.707, 0.998
8350, 0.012, 0.967, 0.632, 0.807, 0.707, 0.998
8450, 0.011, 0.968, 0.634, 0.809, 0.709, 0.998
8550, 0.011, 0.968, 0.635, 0.809, 0.710, 0.998
8650, 0.011, 0.968, 0.635, 0.810, 0.710, 0.998
8750, 0.012, 0.968, 0.635, 0.810, 0.710, 0.998
8850, 0.011, 0.968, 0.636, 0.811, 0.711, 0.998
8950, 0.011, 0.968, 0.638, 0.813, 0.713, 0.998
9050, 0.011, 0.968, 0.638, 0.813, 0.713, 0.998
9150, 0.010, 0.968, 0.639, 0.814, 0.714, 0.998
9250, 0.010, 0.968, 0.640, 0.815, 0.715, 0.998
9350, 0.010, 0.968, 0.641, 0.815, 0.716, 0.998
9450, 0.010, 0.969, 0.642, 0.816, 0.717, 0.998
9550, 0.010, 0.969, 0.643, 0.817, 0.718, 0.998
9650, 0.010, 0.969, 0.643, 0.818, 0.718, 0.998
9750, 0.010, 0.969, 0.644, 0.818, 0.719, 0.998
9850, 0.010, 0.969, 0.645, 0.819, 0.720, 0.999
9950, 0.010, 0.969, 0.646, 0.819, 0.721, 0.999
10050, 0.010, 0.969, 0.647, 0.821, 0.722, 0.999
10150, 0.010, 0.969, 0.648, 0.821, 0.722, 0.999
10250, 0.010, 0.969, 0.649, 0.822, 0.723, 0.999
10350, 0.010, 0.969, 0.649, 0.822, 0.724, 0.999
10450, 0.010, 0.969, 0.650, 0.822, 0.724, 0.999
10550, 0.010, 0.970, 0.650, 0.823, 0.725, 0.998
