epoch, loss, accuracy, precision, recall, f1_score, rotation
6, 1.012, 1.045, 0.478, 0.478, 0.460, 0.855
16, 0.769, 0.953, 0.520, 0.609, 0.557, 0.877
26, 0.725, 0.954, 0.531, 0.633, 0.574, 0.891
36, 0.692, 0.955, 0.537, 0.652, 0.586, 0.900
46, 0.663, 0.956, 0.542, 0.664, 0.594, 0.907
56, 0.643, 0.956, 0.546, 0.673, 0.600, 0.912
66, 0.625, 0.957, 0.548, 0.677, 0.603, 0.915
76, 0.608, 0.957, 0.550, 0.684, 0.607, 0.918
86, 0.590, 0.957, 0.554, 0.689, 0.612, 0.921
96, 0.577, 0.958, 0.555, 0.693, 0.614, 0.924
106, 0.562, 0.958, 0.558, 0.695, 0.617, 0.927
116, 0.553, 0.958, 0.558, 0.698, 0.618, 0.928
126, 0.540, 0.958, 0.561, 0.700, 0.620, 0.931
136, 0.529, 0.958, 0.561, 0.702, 0.621, 0.932
146, 0.519, 0.958, 0.562, 0.704, 0.622, 0.934
156, 0.509, 0.959, 0.563, 0.707, 0.624, 0.935
166, 0.505, 0.959, 0.564, 0.706, 0.625, 0.936
176, 0.495, 0.959, 0.565, 0.709, 0.626, 0.938
186, 0.486, 0.959, 0.565, 0.711, 0.627, 0.939
196, 0.480, 0.959, 0.565, 0.710, 0.627, 0.940
206, 0.474, 0.959, 0.567, 0.713, 0.629, 0.941
216, 0.467, 0.959, 0.566, 0.714, 0.629, 0.943
226, 0.463, 0.959, 0.566, 0.712, 0.628, 0.943
236, 0.457, 0.959, 0.568, 0.716, 0.631, 0.944
246, 0.455, 0.959, 0.568, 0.717, 0.632, 0.944
256, 0.450, 0.959, 0.569, 0.719, 0.632, 0.945
266, 0.444, 0.959, 0.567, 0.718, 0.632, 0.946
276, 0.443, 0.959, 0.570, 0.718, 0.633, 0.946
286, 0.437, 0.959, 0.569, 0.720, 0.633, 0.947
296, 0.433, 0.959, 0.569, 0.719, 0.633, 0.947
306, 0.430, 0.960, 0.571, 0.721, 0.635, 0.948
316, 0.428, 0.959, 0.570, 0.719, 0.633, 0.948
326, 0.424, 0.960, 0.570, 0.721, 0.634, 0.949
336, 0.419, 0.960, 0.571, 0.723, 0.636, 0.950
346, 0.415, 0.960, 0.572, 0.722, 0.636, 0.950
356, 0.412, 0.960, 0.572, 0.723, 0.636, 0.951
366, 0.406, 0.960, 0.573, 0.724, 0.637, 0.952
376, 0.409, 0.960, 0.572, 0.723, 0.636, 0.951
386, 0.404, 0.960, 0.571, 0.725, 0.637, 0.952
396, 0.403, 0.960, 0.572, 0.725, 0.637, 0.952
406, 0.401, 0.960, 0.571, 0.725, 0.637, 0.952
416, 0.399, 0.960, 0.573, 0.725, 0.638, 0.952
426, 0.397, 0.960, 0.573, 0.726, 0.638, 0.953
436, 0.393, 0.960, 0.574, 0.727, 0.639, 0.954
446, 0.392, 0.960, 0.573, 0.728, 0.639, 0.954
456, 0.389, 0.960, 0.573, 0.728, 0.639, 0.954
466, 0.391, 0.960, 0.573, 0.728, 0.639, 0.954
476, 0.389, 0.960, 0.573, 0.727, 0.639, 0.954
486, 0.385, 0.960, 0.573, 0.728, 0.639, 0.955
496, 0.384, 0.960, 0.574, 0.729, 0.640, 0.955
506, 0.381, 0.960, 0.574, 0.729, 0.640, 0.955
516, 0.380, 0.960, 0.574, 0.729, 0.640, 0.955
526, 0.378, 0.960, 0.576, 0.729, 0.641, 0.956
536, 0.377, 0.960, 0.575, 0.731, 0.641, 0.955
546, 0.375, 0.960, 0.574, 0.730, 0.641, 0.956
556, 0.373, 0.960, 0.574, 0.730, 0.640, 0.956
566, 0.371, 0.960, 0.575, 0.731, 0.641, 0.957
576, 0.371, 0.960, 0.575, 0.730, 0.641, 0.956
586, 0.372, 0.960, 0.574, 0.731, 0.641, 0.956
596, 0.366, 0.960, 0.574, 0.730, 0.641, 0.957
606, 0.368, 0.960, 0.575, 0.730, 0.641, 0.957
616, 0.365, 0.960, 0.575, 0.732, 0.642, 0.958
626, 0.364, 0.960, 0.576, 0.731, 0.642, 0.957
636, 0.360, 0.960, 0.577, 0.733, 0.643, 0.958
646, 0.360, 0.960, 0.575, 0.733, 0.642, 0.958
656, 0.358, 0.960, 0.576, 0.734, 0.643, 0.958
666, 0.359, 0.960, 0.575, 0.733, 0.642, 0.958
676, 0.356, 0.960, 0.576, 0.733, 0.643, 0.958
686, 0.358, 0.960, 0.577, 0.734, 0.644, 0.958
696, 0.359, 0.960, 0.575, 0.733, 0.643, 0.958
706, 0.356, 0.960, 0.576, 0.733, 0.643, 0.959
716, 0.354, 0.960, 0.577, 0.734, 0.643, 0.959
726, 0.352, 0.960, 0.576, 0.732, 0.643, 0.959
736, 0.352, 0.961, 0.578, 0.734, 0.644, 0.959
