epoch, loss, accuracy, precision, recall, f1_score, rotation
6, 1.001, 1.043, 0.423, 0.385, 0.383, 0.876
16, 0.761, 0.951, 0.501, 0.574, 0.530, 0.873
26, 0.719, 0.952, 0.510, 0.600, 0.547, 0.889
36, 0.685, 0.952, 0.514, 0.619, 0.557, 0.899
46, 0.660, 0.953, 0.519, 0.629, 0.565, 0.905
56, 0.644, 0.953, 0.521, 0.635, 0.569, 0.908
66, 0.622, 0.954, 0.525, 0.645, 0.575, 0.912
76, 0.605, 0.954, 0.527, 0.647, 0.577, 0.917
86, 0.588, 0.954, 0.529, 0.652, 0.580, 0.919
96, 0.573, 0.954, 0.529, 0.653, 0.581, 0.923
106, 0.562, 0.954, 0.529, 0.657, 0.583, 0.924
116, 0.549, 0.955, 0.534, 0.660, 0.587, 0.926
126, 0.537, 0.955, 0.535, 0.664, 0.589, 0.929
136, 0.528, 0.955, 0.536, 0.664, 0.590, 0.930
146, 0.518, 0.955, 0.537, 0.665, 0.590, 0.933
156, 0.510, 0.955, 0.538, 0.668, 0.592, 0.934
166, 0.502, 0.955, 0.537, 0.666, 0.591, 0.934
176, 0.492, 0.955, 0.538, 0.669, 0.593, 0.936
186, 0.487, 0.955, 0.539, 0.668, 0.593, 0.937
196, 0.479, 0.956, 0.539, 0.672, 0.596, 0.939
206, 0.474, 0.956, 0.540, 0.670, 0.594, 0.939
216, 0.467, 0.956, 0.542, 0.672, 0.596, 0.940
226, 0.464, 0.956, 0.542, 0.673, 0.596, 0.940
236, 0.459, 0.956, 0.542, 0.674, 0.597, 0.941
246, 0.452, 0.956, 0.543, 0.674, 0.598, 0.943
256, 0.446, 0.956, 0.544, 0.675, 0.599, 0.944
266, 0.444, 0.956, 0.543, 0.674, 0.598, 0.944
276, 0.440, 0.956, 0.544, 0.674, 0.598, 0.944
286, 0.437, 0.956, 0.543, 0.674, 0.598, 0.945
296, 0.432, 0.956, 0.545, 0.675, 0.599, 0.946
306, 0.428, 0.956, 0.546, 0.676, 0.601, 0.946
316, 0.427, 0.956, 0.546, 0.677, 0.601, 0.946
326, 0.421, 0.956, 0.547, 0.677, 0.601, 0.947
336, 0.418, 0.956, 0.547, 0.678, 0.602, 0.947
346, 0.417, 0.957, 0.547, 0.679, 0.603, 0.948
356, 0.414, 0.956, 0.547, 0.681, 0.603, 0.948
366, 0.409, 0.957, 0.549, 0.680, 0.604, 0.949
376, 0.404, 0.957, 0.549, 0.682, 0.605, 0.950
386, 0.405, 0.957, 0.549, 0.681, 0.605, 0.949
396, 0.402, 0.957, 0.548, 0.681, 0.603, 0.949
406, 0.401, 0.957, 0.549, 0.682, 0.605, 0.950
416, 0.398, 0.957, 0.548, 0.681, 0.604, 0.951
426, 0.394, 0.957, 0.549, 0.683, 0.605, 0.951
436, 0.392, 0.957, 0.548, 0.683, 0.604, 0.951
446, 0.389, 0.957, 0.548, 0.682, 0.604, 0.952
456, 0.391, 0.957, 0.549, 0.681, 0.604, 0.952
466, 0.388, 0.956, 0.547, 0.682, 0.604, 0.952
476, 0.386, 0.957, 0.548, 0.683, 0.605, 0.953
486, 0.386, 0.956, 0.548, 0.682, 0.604, 0.952
496, 0.381, 0.957, 0.548, 0.681, 0.604, 0.953
506, 0.382, 0.957, 0.548, 0.683, 0.604, 0.953
516, 0.380, 0.957, 0.550, 0.684, 0.606, 0.953
526, 0.373, 0.957, 0.550, 0.686, 0.607, 0.954
536, 0.376, 0.957, 0.549, 0.683, 0.605, 0.954
546, 0.373, 0.957, 0.549, 0.685, 0.606, 0.954
556, 0.373, 0.957, 0.549, 0.683, 0.605, 0.954
566, 0.373, 0.957, 0.549, 0.683, 0.605, 0.954
576, 0.372, 0.957, 0.548, 0.682, 0.604, 0.954
586, 0.369, 0.957, 0.548, 0.683, 0.605, 0.955
596, 0.370, 0.957, 0.548, 0.683, 0.605, 0.955
606, 0.367, 0.957, 0.550, 0.682, 0.605, 0.955
616, 0.365, 0.957, 0.549, 0.684, 0.606, 0.955
626, 0.363, 0.957, 0.549, 0.686, 0.607, 0.956
636, 0.364, 0.957, 0.549, 0.686, 0.606, 0.956
646, 0.360, 0.957, 0.550, 0.687, 0.607, 0.956
656, 0.359, 0.957, 0.550, 0.686, 0.607, 0.957
666, 0.358, 0.957, 0.550, 0.687, 0.607, 0.957
676, 0.360, 0.957, 0.547, 0.684, 0.605, 0.956
686, 0.359, 0.957, 0.548, 0.684, 0.605, 0.956
696, 0.358, 0.957, 0.551, 0.685, 0.607, 0.956
706, 0.355, 0.957, 0.550, 0.688, 0.608, 0.957
716, 0.356, 0.957, 0.549, 0.686, 0.607, 0.957
726, 0.352, 0.957, 0.550, 0.687, 0.607, 0.957
736, 0.354, 0.957, 0.547, 0.685, 0.605, 0.957
